,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_est__alpha,param_fs__features,param_st__horizon,param_st__window_size,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
103,0.035502354303995766,0.012435519863267542,0.03826371828715006,0.014955583343898848,10,"['power', 'wind_speed', 'wind_direction', 'rotor_speed']",10min,1,"{'est__alpha': 10, 'fs__features': ['power', 'wind_speed', 'wind_direction', 'rotor_speed'], 'st__horizon': '10min', 'st__window_size': 1}",-57.69145517862305,-55.645353930281544,-52.69864418118825,-55.34515109669761,2.049330251569252,61
104,0.04138962427775065,0.004391257243585601,0.02986907958984375,0.005833720820370499,10,"['power', 'air_density']",10min,1,"{'est__alpha': 10, 'fs__features': ['power', 'air_density'], 'st__horizon': '10min', 'st__window_size': 1}",-59.68052271314823,-53.6888184062285,-53.51492581202867,-55.62808897713513,2.866382627071059,74
105,0.03609180450439453,0.007941190744150067,0.019283850987752277,0.0038538535999025616,10,"['power', 'wind_speed', 'air_density']",10min,1,"{'est__alpha': 10, 'fs__features': ['power', 'wind_speed', 'air_density'], 'st__horizon': '10min', 'st__window_size': 1}",-57.828173501849015,-52.428755104082725,-52.48877942506587,-54.24856934366587,2.531280990162743,11
106,0.03930123647054037,0.0051843144370910445,0.02704469362894694,0.004524316264467404,10,"['power', 'wind_direction', 'air_density']",10min,1,"{'est__alpha': 10, 'fs__features': ['power', 'wind_direction', 'air_density'], 'st__horizon': '10min', 'st__window_size': 1}",-59.99956853150136,-53.90371431485502,-53.385671759490066,-55.76298486861548,3.003173085450998,104
107,0.04474059740702311,0.008440083110894702,0.0286252498626709,0.0018827490248080603,10,"['power', 'wind_speed', 'wind_direction', 'air_density']",10min,1,"{'est__alpha': 10, 'fs__features': ['power', 'wind_speed', 'wind_direction', 'air_density'], 'st__horizon': '10min', 'st__window_size': 1}",-58.09317715928116,-52.46399847052565,-52.52586133388091,-54.361012321229246,2.6391599089178563,28
108,0.03423603375752767,0.0049243794843029445,0.019979556401570637,0.003303946737642627,10,"['power', 'rotor_speed', 'air_density']",10min,1,"{'est__alpha': 10, 'fs__features': ['power', 'rotor_speed', 'air_density'], 'st__horizon': '10min', 'st__window_size': 1}",-59.719718617281686,-53.62535493293866,-53.461875821195626,-55.60231645713866,2.912207841284332,69
109,0.04613081614176432,0.0059698542840298,0.03125866254170736,0.0033084430632506798,10,"['power', 'wind_speed', 'rotor_speed', 'air_density']",10min,1,"{'est__alpha': 10, 'fs__features': ['power', 'wind_speed', 'rotor_speed', 'air_density'], 'st__horizon': '10min', 'st__window_size': 1}",-57.674223087053214,-55.283304820847256,-52.60916636085777,-55.188898089586075,2.0688780184881193,43
110,0.06826130549112956,0.03207213315564062,0.04692204793294271,0.027379779268115006,10,"['power', 'wind_direction', 'rotor_speed', 'air_density']",10min,1,"{'est__alpha': 10, 'fs__features': ['power', 'wind_direction', 'rotor_speed', 'air_density'], 'st__horizon': '10min', 'st__window_size': 1}",-60.0105347181692,-53.80809664206402,-53.378308151348875,-55.73231317052736,3.0302435814873534,93
111,0.06175533930460612,0.0066193838533690555,0.030352989832560223,0.0027919163250661357,10,"['power', 'wind_speed', 'wind_direction', 'rotor_speed', 'air_density']",10min,1,"{'est__alpha': 10, 'fs__features': ['power', 'wind_speed', 'wind_direction', 'rotor_speed', 'air_density'], 'st__horizon': '10min', 'st__window_size': 1}",-57.69177777779625,-55.64403368042943,-52.69707853388799,-55.34429666403789,2.0500629004205226,60
112,0.024710655212402344,0.0035098017823801566,0.01598366101582845,0.004095129458241565,10,"['power', 'relative_humidity']",10min,1,"{'est__alpha': 10, 'fs__features': ['power', 'relative_humidity'], 'st__horizon': '10min', 'st__window_size': 1}",-59.70161521210342,-53.87318649834804,-53.51623793292345,-55.6970132144583,2.835428355557246,83
