,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_est__alpha,param_st__horizon,param_st__window_size,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
20,0.8378829956054688,0.4007258017775576,0.5209199587504069,0.11671750583112389,10,10min,3,"{'est__alpha': 10, 'st__horizon': '10min', 'st__window_size': 3}",-157.0778501578796,-146.88900255298077,-149.85473711624138,-151.2738632757006,4.278908986436394,10
21,0.5385302702585856,0.06115585955694556,0.2724405924479167,0.09947408570689126,10,hourly,1,"{'est__alpha': 10, 'st__horizon': 'hourly', 'st__window_size': 1}",-284.8425685524532,-271.31547524794854,-281.11387226146746,-279.09063868728975,5.7047155283416595,47
22,0.6122315724690756,0.18230335654837979,0.33341797192891437,0.08731842098787371,10,hourly,2,"{'est__alpha': 10, 'st__horizon': 'hourly', 'st__window_size': 2}",-280.5574261152272,-267.92767319499984,-277.41708242319874,-275.30072724447524,5.368853641661948,41
23,0.6961727937062582,0.3008926668654205,0.3553186257680257,0.04529724564411278,10,hourly,3,"{'est__alpha': 10, 'st__horizon': 'hourly', 'st__window_size': 3}",-278.10917513163963,-265.9829790078096,-275.4386346046667,-273.17692958137195,5.202412281348911,37
24,0.48396102587382,0.19150463220157918,0.29465651512145996,0.07086651556778101,10,daily,1,"{'est__alpha': 10, 'st__horizon': 'daily', 'st__window_size': 1}",-610.7957644808401,-568.5406919799306,-604.9780102203036,-594.7714888936915,18.699422383364745,70
25,0.7230880260467529,0.1930668409996975,0.3270409107208252,0.05722074360611117,10,daily,2,"{'est__alpha': 10, 'st__horizon': 'daily', 'st__window_size': 2}",-610.3905762083959,-568.3187878222469,-604.6642795676532,-594.4578811994321,18.63038325317629,66
26,0.8851470947265625,0.30063764971253165,0.4005339940388997,0.05719695195710969,10,daily,3,"{'est__alpha': 10, 'st__horizon': 'daily', 'st__window_size': 3}",-610.1842481587934,-568.1751952796076,-604.5016183150404,-594.2870205844805,18.609023546824943,62
27,0.5096743106842041,0.13169194949417087,0.22250604629516602,0.018962948491995178,100,10min,1,"{'est__alpha': 100, 'st__horizon': '10min', 'st__window_size': 1}",-159.74022408120615,-149.03004117702744,-152.1247505399166,-153.63167193271673,4.500378763563463,24
28,0.5769867102305094,0.15509396882321827,0.3182613054911296,0.059231427130291774,100,10min,2,"{'est__alpha': 100, 'st__horizon': '10min', 'st__window_size': 2}",-158.60685812696872,-147.9769971569601,-150.90051358430622,-152.494789622745,4.483657221917781,19
29,0.7720508575439453,0.2897478455571074,0.47647809982299805,0.14163298618887968,100,10min,3,"{'est__alpha': 100, 'st__horizon': '10min', 'st__window_size': 3}",-157.33481312664833,-147.0148608855478,-149.99766113328488,-151.44911171516034,4.336310656027691,13
